wine_tube_id,id,ts_sum_id,micro_id,year,tank,tank_letter,tank_letter,brix,hr,rootstock,ava_id,ava,nutristart,dap,initial_brix,initial_ph,initial_TA,initial_nopa,initial_nh3,initial_yan,initial_tso2,initial_MA,lon,lat,total_gdd_c,total_gdd_f,total_ppt
17-24-5,2017_SMV2_24_5,2017_SMV2_24,2017_SMV2_D,2017,24,D,d,-1.1,111.5,101_14,SMV2,SMV,yes,yes,23.1,3.63,5.01,145,77,206.6,0,1911,0,0,1549.493507,2789.088313,468.2490053
17-25-1,2017_RRV2_25_1,2017_RRV2_25,2017_RRV2_A,2017,25,A,a,22.5,16,3309C,RRV2,RRV,no,no,26.7,3.64,3.69,107,82,172.6,NA,1356,0,0,1446.626,2603.9268,1259.819974
17-25-2,2017_RRV2_25_2,2017_RRV2_25,2017_RRV2_A,2017,25,A,a,17.2,40,3309C,RRV2,RRV,yes,yes,26.7,3.64,3.69,107,82,172.6,NA,1356,0,0,1446.626,2603.9268,1259.819974
17-25-3,2017_RRV2_25_3,2017_RRV2_25,2017_RRV2_A,2017,25,A,a,10.5,63.83,3309C,RRV2,RRV,yes,yes,26.7,3.64,3.69,107,82,172.6,NA,1356,0,0,1446.626,2603.9268,1259.819974
17-25-4,2017_RRV2_25_4,2017_RRV2_25,2017_RRV2_A,2017,25,A,a,4.6,87.75,3309C,RRV2,RRV,yes,yes,26.7,3.64,3.69,107,82,172.6,NA,1356,0,0,1446.626,2603.9268,1259.819974
17-25-5,2017_RRV2_25_5,2017_RRV2_25,2017_RRV2_A,2017,25,A,a,1.1,111.5,3309C,RRV2,RRV,yes,yes,26.7,3.64,3.69,107,82,172.6,NA,1356,0,0,1446.626,2603.9268,1259.819974
17-28-1,2017_RRV2_28_1,2017_RRV2_28,2017_RRV2_D,2017,28,D,d,23,16,3309C,RRV2,RRV,no,no,27,3.61,3.7,117,85,185,12.82,1365,0,0,1446.626,2603.9268,1259.819974
17-28-2,2017_RRV2_28_2,2017_RRV2_28,2017_RRV2_D,2017,28,D,d,17.1,40,3309C,RRV2,RRV,yes,yes,27,3.61,3.7,117,85,185,12.82,1365,0,0,1446.626,2603.9268,1259.819974
17-28-3,2017_RRV2_28_3,2017_RRV2_28,2017_RRV2_D,2017,28,D,d,10.2,63.83,3309C,RRV2,RRV,yes,yes,27,3.61,3.7,117,85,185,12.82,1365,0,0,1446.626,2603.9268,1259.819974
17-28-4,2017_RRV2_28_4,2017_RRV2_28,2017_RRV2_D,2017,28,D,d,4.6,87.75,3309C,RRV2,RRV,yes,yes,27,3.61,3.7,117,85,185,12.82,1365,0,0,1446.626,2603.9268,1259.819974
17-28-5,2017_RRV2_28_5,2017_RRV2_28,2017_RRV2_D,2017,28,D,d,1.3,111.5,3309C,RRV2,RRV,yes,yes,27,3.61,3.7,117,85,185,12.82,1365,0,0,1446.626,2603.9268,1259.819974
17-29-1,2017_RRV1_29_1,2017_RRV1_29,2017_RRV1_A,2017,29,A,a,23.9,16.25,101_14,RRV1,RRV,no,no,25.2,3.58,4.14,171,128,273.4,13.19,1641,0,0,1500.606508,2701.091715,1235.847034
17-29-2,2017_RRV1_29_2,2017_RRV1_29,2017_RRV1_A,2017,29,A,a,15.7,40,101_14,RRV1,RRV,no,no,25.2,3.58,4.14,171,128,273.4,13.19,1641,0,0,1500.606508,2701.091715,1235.847034
17-29-3,2017_RRV1_29_3,2017_RRV1_29,2017_RRV1_A,2017,29,A,a,7,63.83,101_14,RRV1,RRV,no,no,25.2,3.58,4.14,171,128,273.4,13.19,1641,0,0,1500.606508,2701.091715,1235.847034
17-29-4,2017_RRV1_29_4,2017_RRV1_29,2017_RRV1_A,2017,29,A,a,1,87.58,101_14,RRV1,RRV,no,no,25.2,3.58,4.14,171,128,273.4,13.19,1641,0,0,1500.606508,2701.091715,1235.847034
17-29-5,2017_RRV1_29_5,2017_RRV1_29,2017_RRV1_A,2017,29,A,a,-0.6,111.67,101_14,RRV1,RRV,no,no,25.2,3.58,4.14,171,128,273.4,13.19,1641,0,0,1500.606508,2701.091715,1235.847034
17-31-1,2017_RRV1_31_1,2017_RRV1_31,2017_RRV1_C,2017,31,C,c,23.7,16.25,101_14,RRV1,RRV,no,no,25.2,3.48,4.13,171,109,258.2,11.12,1622,0,0,1500.606508,2701.091715,1235.847034
17-31-2,2017_RRV1_31_2,2017_RRV1_31,2017_RRV1_C,2017,31,C,c,15.5,40,101_14,RRV1,RRV,no,no,25.2,3.48,4.13,171,109,258.2,11.12,1622,0,0,1500.606508,2701.091715,1235.847034
17-31-3,2017_RRV1_31_3,2017_RRV1_31,2017_RRV1_C,2017,31,C,c,7.3,63.83,101_14,RRV1,RRV,no,no,25.2,3.48,4.13,171,109,258.2,11.12,1622,0,0,1500.606508,2701.091715,1235.847034
17-31-4,2017_RRV1_31_4,2017_RRV1_31,2017_RRV1_C,2017,31,C,c,1,87.58,101_14,RRV1,RRV,no,no,25.2,3.48,4.13,171,109,258.2,11.12,1622,0,0,1500.606508,2701.091715,1235.847034
17-31-5,2017_RRV1_31_5,2017_RRV1_31,2017_RRV1_C,2017,31,C,c,-0.8,111.67,101_14,RRV1,RRV,no,no,25.2,3.48,4.13,171,109,258.2,11.12,1622,0,0,1500.606508,2701.091715,1235.847034
17-33-1,2017_SNC1_33_1,2017_SNC1_33,2017_SNC1_A,2017,33,A,a,23.6,16.33,101_14,SNC1,SNC,no,no,26.3,3.59,4.19,129,104,212,3.82,1873,0,0,1461.524004,2630.743208,1287.343969
17-33-2,2017_SNC1_33_2,2017_SNC1_33,2017_SNC1_A,2017,33,A,a,16.5,40.17,101_14,SNC1,SNC,yes,no,26.3,3.59,4.19,129,104,212,3.82,1873,0,0,1461.524004,2630.743208,1287.343969
17-33-3,2017_SNC1_33_3,2017_SNC1_33,2017_SNC1_A,2017,33,A,a,9.9,64,101_14,SNC1,SNC,yes,no,26.3,3.59,4.19,129,104,212,3.82,1873,0,0,1461.524004,2630.743208,1287.343969
17-33-4,2017_SNC1_33_4,2017_SNC1_33,2017_SNC1_A,2017,33,A,a,4.3,87.75,101_14,SNC1,SNC,yes,no,26.3,3.59,4.19,129,104,212,3.82,1873,0,0,1461.524004,2630.743208,1287.343969
17-33-5,2017_SNC1_33_5,2017_SNC1_33,2017_SNC1_A,2017,33,A,a,1.1,111.75,101_14,SNC1,SNC,yes,no,26.3,3.59,4.19,129,104,212,3.82,1873,0,0,1461.524004,2630.743208,1287.343969
17-34-1,2017_SNC1_34_1,2017_SNC1_34,2017_SNC1_B,2017,34,B,b,23.7,16.33,101_14,SNC1,SNC,no,no,26.5,3.6,4.15,129,104,212,10.61,1900,0,0,1461.524004,2630.743208,1287.343969
17-34-2,2017_SNC1_34_2,2017_SNC1_34,2017_SNC1_B,2017,34,B,b,17,40.17,101_14,SNC1,SNC,yes,no,26.5,3.6,4.15,129,104,212,10.61,1900,0,0,1461.524004,2630.743208,1287.343969
17-34-3,2017_SNC1_34_3,2017_SNC1_34,2017_SNC1_B,2017,34,B,b,10.3,64,101_14,SNC1,SNC,yes,no,26.5,3.6,4.15,129,104,212,10.61,1900,0,0,1461.524004,2630.743208,1287.343969
17-34-4,2017_SNC1_34_4,2017_SNC1_34,2017_SNC1_B,2017,34,B,b,4.6,87.75,101_14,SNC1,SNC,yes,no,26.5,3.6,4.15,129,104,212,10.61,1900,0,0,1461.524004,2630.743208,1287.343969
